"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x224","0x4","jfloat _func_373(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_373 *","CallStaticFloatMethodA",""
"0x228","0x4","jdouble _func_374(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_374 *","CallStaticDoubleMethod",""
"0x22c","0x4","jdouble _func_375(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_375 *","CallStaticDoubleMethodV",""
"0x230","0x4","jdouble _func_376(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_376 *","CallStaticDoubleMethodA",""
"0x234","0x4","void _func_377(JNIEnv * env\, jclass cls\, jmethodID methodID\, ...) *","_func_377 *","CallStaticVoidMethod",""
"0x238","0x4","void _func_378(JNIEnv * env\, jclass cls\, jmethodID methodID\, void * args) *","_func_378 *","CallStaticVoidMethodV",""
"0x23c","0x4","void _func_379(JNIEnv * env\, jclass cls\, jmethodID methodID\, jvalue * args) *","_func_379 *","CallStaticVoidMethodA",""
"0x240","0x4","jfieldID _func_380(JNIEnv * env\, jclass clazz\, char * name\, char * sig) *","_func_380 *","GetStaticFieldID",""
"0x244","0x4","jobject _func_381(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_381 *","GetStaticObjectField",""
"0x248","0x4","jboolean _func_382(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_382 *","GetStaticBooleanField",""
"0x24c","0x4","jbyte _func_383(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_383 *","GetStaticByteField",""
"0x250","0x4","jchar _func_384(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_384 *","GetStaticCharField",""
"0x254","0x4","jshort _func_385(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_385 *","GetStaticShortField",""
"0x258","0x4","jint _func_386(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_386 *","GetStaticIntField",""
"0x25c","0x4","jlong _func_387(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_387 *","GetStaticLongField",""
"0x260","0x4","jfloat _func_388(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_388 *","GetStaticFloatField",""
"0x264","0x4","jdouble _func_389(JNIEnv * env\, jclass clazz\, jfieldID fieldID) *","_func_389 *","GetStaticDoubleField",""
"0x268","0x4","void _func_390(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jobject value) *","_func_390 *","SetStaticObjectField",""
"0x26c","0x4","void _func_391(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jboolean value) *","_func_391 *","SetStaticBooleanField",""
"0x270","0x4","void _func_392(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jbyte value) *","_func_392 *","SetStaticByteField",""
"0x274","0x4","void _func_393(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jchar value) *","_func_393 *","SetStaticCharField",""
"0x278","0x4","void _func_394(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jshort value) *","_func_394 *","SetStaticShortField",""
"0x27c","0x4","void _func_395(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jint value) *","_func_395 *","SetStaticIntField",""
"0x280","0x4","void _func_396(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jlong value) *","_func_396 *","SetStaticLongField",""
"0x284","0x4","void _func_397(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jfloat value) *","_func_397 *","SetStaticFloatField",""
"0x288","0x4","void _func_398(JNIEnv * env\, jclass clazz\, jfieldID fieldID\, jdouble value) *","_func_398 *","SetStaticDoubleField",""
"0x28c","0x4","jstring _func_399(JNIEnv * env\, jchar * unicode\, jsize len) *","_func_399 *","NewString",""
"0x290","0x4","jsize _func_400(JNIEnv * env\, jstring str) *","_func_400 *","GetStringLength",""
"0x294","0x4","jchar * _func_401(JNIEnv * env\, jstring str\, jboolean * isCopy) *","_func_401 *","GetStringChars",""
"0x298","0x4","void _func_402(JNIEnv * env\, jstring str\, jchar * chars) *","_func_402 *","ReleaseStringChars",""
"0x29c","0x4","jstring _func_403(JNIEnv * env\, char * utf) *","_func_403 *","NewStringUTF",""
"0x2a0","0x4","jsize _func_404(JNIEnv * env\, jstring str) *","_func_404 *","GetStringUTFLength",""
"0x2a4","0x4","char * _func_405(JNIEnv * env\, jstring str\, jboolean * isCopy) *","_func_405 *","GetStringUTFChars",""
"0x2a8","0x4","void _func_406(JNIEnv * env\, jstring str\, char * chars) *","_func_406 *","ReleaseStringUTFChars",""
"0x2ac","0x4","jsize _func_407(JNIEnv * env\, jarray array) *","_func_407 *","GetArrayLength",""
"0x2b0","0x4","jobjectArray _func_408(JNIEnv * env\, jsize len\, jclass clazz\, jobject init) *","_func_408 *","NewObjectArray",""
"0x2b4","0x4","jobject _func_409(JNIEnv * env\, jobjectArray array\, jsize index) *","_func_409 *","GetObjectArrayElement",""
"0x2b8","0x4","void _func_410(JNIEnv * env\, jobjectArray array\, jsize index\, jobject val) *","_func_410 *","SetObjectArrayElement",""
"0x2bc","0x4","jbooleanArray _func_411(JNIEnv * env\, jsize len) *","_func_411 *","NewBooleanArray",""
"0x2c0","0x4","jbyteArray _func_412(JNIEnv * env\, jsize len) *","_func_412 *","NewByteArray",""
"0x2c4","0x4","jcharArray _func_413(JNIEnv * env\, jsize len) *","_func_413 *","NewCharArray",""
"0x2c8","0x4","jshortArray _func_414(JNIEnv * env\, jsize len) *","_func_414 *","NewShortArray",""
"0x2cc","0x4","jintArray _func_415(JNIEnv * env\, jsize len) *","_func_415 *","NewIntArray",""
